Datetime,Open,High,Low,Close,Volume
2024-03-04 01:00:00+00:00,1.3549,1.35638,1.3549,1.35618,2013
2024-03-04 02:00:00+00:00,1.35618,1.35662,1.35566,1.35596,1989
2024-03-04 03:00:00+00:00,1.35594,1.35618,1.35575,1.35596,1563
2024-03-04 04:00:00+00:00,1.35596,1.35626,1.35586,1.35618,715
2024-03-04 05:00:00+00:00,1.35618,1.35656,1.35616,1.35645,1351
2024-03-04 06:00:00+00:00,1.35646,1.3566,1.35622,1.35626,1703
2024-03-04 07:00:00+00:00,1.35624,1.35669,1.35564,1.35575,3046
2024-03-04 08:00:00+00:00,1.35574,1.35728,1.35572,1.35716,3462
2024-03-04 09:00:00+00:00,1.35716,1.35719,1.35596,1.35626,4465
2024-03-04 10:00:00+00:00,1.35626,1.35668,1.35584,1.35594,3032
2024-03-04 11:00:00+00:00,1.35594,1.35658,1.35586,1.35646,2660
2024-03-04 12:00:00+00:00,1.35646,1.35712,1.35634,1.3571,2908
2024-03-04 13:00:00+00:00,1.35713,1.3584,1.35654,1.3567,5246
2024-03-04 14:00:00+00:00,1.3567,1.35722,1.35595,1.35652,6002
2024-03-04 15:00:00+00:00,1.35653,1.35774,1.35616,1.35618,6329
2024-03-04 16:00:00+00:00,1.35618,1.35676,1.35567,1.35657,4553
2024-03-04 17:00:00+00:00,1.35658,1.35726,1.35648,1.35714,3547
2024-03-04 18:00:00+00:00,1.35714,1.35786,1.35684,1.35776,3066
2024-03-04 19:00:00+00:00,1.35777,1.35819,1.35756,1.358,2948
2024-03-04 20:00:00+00:00,1.35798,1.35806,1.35752,1.35762,2936
2024-03-04 21:00:00+00:00,1.35762,1.35792,1.35728,1.35743,1429
2024-03-04 22:00:00+00:00,1.35738,1.35782,1.35736,1.35756,1250
2024-03-04 23:00:00+00:00,1.35756,1.3577,1.35715,1.35762,840
2024-03-05 00:00:00+00:00,1.35763,1.35788,1.35734,1.35773,1666
2024-03-05 01:00:00+00:00,1.35774,1.35798,1.35728,1.3573,2493
2024-03-05 02:00:00+00:00,1.35726,1.35854,1.35714,1.35806,2021
2024-03-05 03:00:00+00:00,1.35806,1.35835,1.3577,1.35796,1612
2024-03-05 04:00:00+00:00,1.35796,1.35838,1.35788,1.35832,1892
2024-03-05 05:00:00+00:00,1.35833,1.35862,1.35794,1.35854,2198
2024-03-05 06:00:00+00:00,1.35855,1.35956,1.35826,1.35936,2107
2024-03-05 07:00:00+00:00,1.35938,1.35992,1.35918,1.3597,2770
2024-03-05 08:00:00+00:00,1.35972,1.36053,1.3594,1.36004,3103
2024-03-05 09:00:00+00:00,1.36005,1.36032,1.35826,1.35886,3584
2024-03-05 10:00:00+00:00,1.35884,1.35894,1.35796,1.35822,2675
2024-03-05 11:00:00+00:00,1.35822,1.35874,1.35796,1.35864,2162
2024-03-05 12:00:00+00:00,1.35862,1.35984,1.35862,1.35964,2402
2024-03-05 13:00:00+00:00,1.35964,1.3598,1.35795,1.35889,5215
2024-03-05 14:00:00+00:00,1.35888,1.35907,1.35728,1.35808,5570
2024-03-05 15:00:00+00:00,1.35808,1.35808,1.35554,1.35692,7960
2024-03-05 16:00:00+00:00,1.35688,1.35838,1.35674,1.35793,5109
2024-03-05 17:00:00+00:00,1.35792,1.35814,1.35726,1.35766,3849
2024-03-05 18:00:00+00:00,1.35766,1.35904,1.35748,1.35888,3513
2024-03-05 19:00:00+00:00,1.3589,1.35946,1.35822,1.35943,4554
2024-03-05 20:00:00+00:00,1.35942,1.36,1.35912,1.35947,4773
2024-03-05 21:00:00+00:00,1.35946,1.35948,1.35912,1.35918,1526
2024-03-05 22:00:00+00:00,1.35944,1.35954,1.35891,1.35919,1284
2024-03-05 23:00:00+00:00,1.3592,1.35958,1.35898,1.35902,1080
