Datetime,Open,High,Low,Close,Volume
2024-03-04 01:00:00+00:00,162.668,162.835,162.659,162.742,5570
2024-03-04 02:00:00+00:00,162.741,162.874,162.729,162.872,4650
2024-03-04 03:00:00+00:00,162.868,162.88,162.786,162.837,4138
2024-03-04 04:00:00+00:00,162.836,162.956,162.83,162.933,3303
2024-03-04 05:00:00+00:00,162.932,163.008,162.932,162.996,3322
2024-03-04 06:00:00+00:00,162.992,163.118,162.962,163.093,3954
2024-03-04 07:00:00+00:00,163.096,163.178,163.076,163.142,7528
2024-03-04 08:00:00+00:00,163.142,163.258,162.774,163.081,10593
2024-03-04 09:00:00+00:00,163.08,163.104,162.964,163.004,8312
2024-03-04 10:00:00+00:00,163.004,163.316,162.998,163.26,8464
2024-03-04 11:00:00+00:00,163.26,163.346,163.232,163.304,7008
2024-03-04 12:00:00+00:00,163.307,163.316,163.078,163.126,6253
2024-03-04 13:00:00+00:00,163.129,163.3,163.124,163.232,8339
2024-03-04 14:00:00+00:00,163.232,163.4,163.214,163.26,8921
2024-03-04 15:00:00+00:00,163.26,163.487,163.26,163.474,9571
2024-03-04 16:00:00+00:00,163.476,163.522,163.398,163.412,7095
2024-03-04 17:00:00+00:00,163.408,163.464,163.38,163.442,5765
2024-03-04 18:00:00+00:00,163.441,163.466,163.406,163.452,4090
2024-03-04 19:00:00+00:00,163.446,163.456,163.385,163.449,3635
2024-03-04 20:00:00+00:00,163.448,163.454,163.382,163.4,3532
2024-03-04 21:00:00+00:00,163.401,163.432,163.389,163.405,1931
2024-03-04 22:00:00+00:00,163.391,163.444,163.294,163.298,7814
2024-03-04 23:00:00+00:00,163.316,163.414,163.281,163.304,3902
2024-03-05 00:00:00+00:00,163.306,163.324,163.179,163.23,6178
2024-03-05 01:00:00+00:00,163.232,163.279,163.18,163.243,5341
2024-03-05 02:00:00+00:00,163.248,163.348,163.246,163.292,5000
2024-03-05 03:00:00+00:00,163.292,163.358,163.263,163.357,3363
2024-03-05 04:00:00+00:00,163.356,163.37,163.307,163.338,4712
2024-03-05 05:00:00+00:00,163.338,163.366,163.291,163.337,5239
2024-03-05 06:00:00+00:00,163.338,163.356,163.204,163.228,5504
2024-03-05 07:00:00+00:00,163.228,163.306,163.026,163.154,7321
2024-03-05 08:00:00+00:00,163.152,163.288,163.055,163.195,9545
2024-03-05 09:00:00+00:00,163.194,163.278,163.172,163.225,7851
2024-03-05 10:00:00+00:00,163.216,163.274,163.178,163.198,6127
2024-03-05 11:00:00+00:00,163.196,163.269,163.148,163.2,6226
2024-03-05 12:00:00+00:00,163.201,163.228,163.1,163.137,6215
2024-03-05 13:00:00+00:00,163.134,163.134,162.784,162.794,11150
2024-03-05 14:00:00+00:00,162.794,162.874,162.72,162.82,10769
2024-03-05 15:00:00+00:00,162.824,163.092,162.681,163.052,14647
2024-03-05 16:00:00+00:00,163.052,163.168,163.04,163.077,10051
2024-03-05 17:00:00+00:00,163.076,163.08,162.974,163.002,6471
2024-03-05 18:00:00+00:00,163.002,163.002,162.756,162.768,6945
2024-03-05 19:00:00+00:00,162.766,162.858,162.707,162.726,6723
2024-03-05 20:00:00+00:00,162.725,162.794,162.608,162.781,6571
2024-03-05 21:00:00+00:00,162.78,162.946,162.77,162.92,3055
2024-03-05 22:00:00+00:00,162.892,162.926,162.84,162.88,2861
2024-03-05 23:00:00+00:00,162.88,162.896,162.655,162.891,2902
2024-03-06 00:00:00+00:00,162.892,162.892,162.664,162.742,5890
2024-03-06 01:00:00+00:00,162.742,162.772,162.65,162.693,5701
2024-03-06 02:00:00+00:00,162.694,162.724,162.643,162.689,5324
2024-03-06 03:00:00+00:00,162.69,162.766,162.69,162.738,3492
2024-03-06 04:00:00+00:00,162.736,162.784,162.699,162.71,3360
2024-03-06 05:00:00+00:00,162.71,162.742,162.625,162.734,3679
2024-03-06 06:00:00+00:00,162.734,162.802,162.698,162.726,3892
2024-03-06 07:00:00+00:00,162.725,162.725,162.215,162.424,11645
2024-03-06 08:00:00+00:00,162.428,162.828,162.42,162.827,9496
2024-03-06 09:00:00+00:00,162.826,162.923,162.752,162.764,7889
2024-03-06 10:00:00+00:00,162.764,162.928,162.698,162.881,8227
2024-03-06 11:00:00+00:00,162.882,162.9,162.814,162.827,6059
2024-03-06 12:00:00+00:00,162.826,162.874,162.546,162.635,6889
2024-03-06 13:00:00+00:00,162.638,162.826,162.536,162.586,13541
2024-03-06 14:00:00+00:00,162.584,162.704,162.52,162.646,11238
2024-03-06 15:00:00+00:00,162.644,162.962,162.542,162.891,15529
2024-03-06 16:00:00+00:00,162.89,162.951,162.742,162.789,10185
2024-03-06 17:00:00+00:00,162.788,162.898,162.676,162.804,8884
2024-03-06 18:00:00+00:00,162.803,162.814,162.656,162.743,7609
2024-03-06 19:00:00+00:00,162.742,162.777,162.66,162.74,10156
2024-03-06 20:00:00+00:00,162.74,162.824,162.734,162.782,6893
2024-03-06 21:00:00+00:00,162.786,162.852,162.78,162.842,3374
2024-03-06 22:00:00+00:00,162.791,162.81,162.698,162.748,2170
2024-03-06 23:00:00+00:00,162.742,162.767,162.634,162.69,3653
2024-03-07 00:00:00+00:00,162.686,162.686,162.326,162.346,9204
2024-03-07 01:00:00+00:00,162.346,162.402,161.915,161.964,11641
2024-03-07 02:00:00+00:00,161.964,162.12,161.951,162.118,9375
2024-03-07 03:00:00+00:00,162.12,162.132,161.979,162.058,5871
2024-03-07 04:00:00+00:00,162.06,162.062,161.828,161.976,7150
2024-03-07 05:00:00+00:00,161.976,162.076,161.93,162.022,5715
2024-03-07 06:00:00+00:00,162.024,162.063,161.452,161.562,8399
2024-03-07 07:00:00+00:00,161.562,161.568,161.154,161.162,11020
2024-03-07 08:00:00+00:00,161.162,161.326,160.996,161.213,10837
2024-03-07 09:00:00+00:00,161.212,161.448,161.062,161.328,9217
2024-03-07 10:00:00+00:00,161.324,161.324,161.073,161.128,9053
2024-03-07 11:00:00+00:00,161.126,161.166,160.996,161.057,8767
2024-03-07 12:00:00+00:00,161.054,161.18,160.935,161.054,8674
2024-03-07 13:00:00+00:00,161.056,161.126,160.556,160.66,16217
2024-03-07 14:00:00+00:00,160.661,161.732,160.624,161.682,17317
2024-03-07 15:00:00+00:00,161.686,161.958,161.658,161.92,12047
2024-03-07 16:00:00+00:00,161.912,162.02,161.752,162.016,12585
2024-03-07 17:00:00+00:00,162.014,162.13,161.932,161.987,8729
2024-03-07 18:00:00+00:00,161.988,162.09,161.95,162.068,5912
2024-03-07 19:00:00+00:00,162.067,162.095,162.018,162.021,5657
2024-03-07 20:00:00+00:00,162.022,162.141,161.989,162.106,6236
2024-03-07 21:00:00+00:00,162.106,162.108,162.018,162.074,2913
2024-03-07 22:00:00+00:00,162.07,162.1,161.888,161.934,4325
2024-03-07 23:00:00+00:00,161.932,161.992,161.854,161.928,2627
2024-03-08 00:00:00+00:00,161.928,161.964,161.622,161.808,8601
2024-03-08 01:00:00+00:00,161.808,162.178,161.715,162.004,8025
2024-03-08 02:00:00+00:00,162.004,162.114,161.916,161.962,8323
2024-03-08 03:00:00+00:00,161.963,162.047,161.812,161.82,4904
2024-03-08 04:00:00+00:00,161.819,161.888,161.802,161.836,5337
2024-03-08 05:00:00+00:00,161.836,161.884,161.771,161.797,4765
2024-03-08 06:00:00+00:00,161.794,162.0,161.794,161.876,6164
2024-03-08 07:00:00+00:00,161.875,162.026,161.591,161.69,10140
2024-03-08 08:00:00+00:00,161.691,161.784,161.618,161.65,9448
2024-03-08 09:00:00+00:00,161.65,161.656,160.614,160.896,14010
2024-03-08 10:00:00+00:00,160.892,160.974,160.706,160.834,9571
2024-03-08 11:00:00+00:00,160.834,160.853,160.698,160.848,7951
2024-03-08 12:00:00+00:00,160.844,160.95,160.795,160.95,7070
2024-03-08 13:00:00+00:00,160.95,161.139,160.694,161.052,20469
