Datetime,Open,High,Low,Close,Volume
2024-03-04 01:00:00+00:00,0.65311,0.65313,0.65202,0.65229,1955
2024-03-04 02:00:00+00:00,0.65225,0.6529,0.65192,0.65272,1459
2024-03-04 03:00:00+00:00,0.65274,0.65276,0.65224,0.65226,1328
2024-03-04 04:00:00+00:00,0.65228,0.65232,0.65185,0.65198,573
2024-03-04 05:00:00+00:00,0.65198,0.65205,0.65162,0.65169,810
2024-03-04 06:00:00+00:00,0.65168,0.65264,0.65161,0.65252,1221
2024-03-04 07:00:00+00:00,0.65254,0.65266,0.6518,0.65255,1838
2024-03-04 08:00:00+00:00,0.65256,0.65274,0.65154,0.6516,1784
2024-03-04 09:00:00+00:00,0.65159,0.65253,0.65156,0.65232,1563
2024-03-04 10:00:00+00:00,0.65231,0.65238,0.65198,0.65226,1308
2024-03-04 11:00:00+00:00,0.65226,0.65232,0.65196,0.65226,1141
2024-03-04 12:00:00+00:00,0.6523,0.65246,0.6519,0.6519,1585
2024-03-04 13:00:00+00:00,0.6519,0.65194,0.65092,0.65168,2374
2024-03-04 14:00:00+00:00,0.65172,0.65212,0.65126,0.65212,2254
2024-03-04 15:00:00+00:00,0.6521,0.6522,0.6513,0.65186,2547
2024-03-04 16:00:00+00:00,0.65188,0.65232,0.65171,0.652,2230
2024-03-04 17:00:00+00:00,0.652,0.65204,0.65142,0.65149,1297
2024-03-04 18:00:00+00:00,0.6515,0.65158,0.65115,0.6512,1009
2024-03-04 19:00:00+00:00,0.6512,0.65121,0.65083,0.65101,1045
2024-03-04 20:00:00+00:00,0.65102,0.65122,0.65086,0.6509,1297
2024-03-04 21:00:00+00:00,0.65091,0.65098,0.65076,0.65094,404
2024-03-04 22:00:00+00:00,0.65124,0.65126,0.65086,0.651,821
2024-03-04 23:00:00+00:00,0.651,0.65104,0.65042,0.65069,721
2024-03-05 00:00:00+00:00,0.65066,0.65108,0.65052,0.65082,1069
2024-03-05 01:00:00+00:00,0.6508,0.65114,0.6504,0.65087,1553
2024-03-05 02:00:00+00:00,0.65086,0.65094,0.64978,0.65006,1433
2024-03-05 03:00:00+00:00,0.65006,0.65052,0.64992,0.65028,1079
2024-03-05 04:00:00+00:00,0.6503,0.6504,0.65007,0.65014,678
2024-03-05 05:00:00+00:00,0.65012,0.65025,0.649,0.649,1057
2024-03-05 06:00:00+00:00,0.64904,0.64928,0.64775,0.64812,1276
2024-03-05 07:00:00+00:00,0.64811,0.64848,0.6479,0.64842,1273
2024-03-05 08:00:00+00:00,0.64848,0.64866,0.64798,0.64803,1490
2024-03-05 09:00:00+00:00,0.64802,0.64904,0.6479,0.64866,1552
2024-03-05 10:00:00+00:00,0.64866,0.64966,0.64856,0.64942,904
2024-03-05 11:00:00+00:00,0.6494,0.6496,0.6491,0.64927,1129
