Datetime,Open,High,Low,Close,Volume
2024-03-04 01:00:00+00:00,1.08458,1.08458,1.08386,1.08402,2612
2024-03-04 02:00:00+00:00,1.08402,1.0846,1.08386,1.08454,2135
2024-03-04 03:00:00+00:00,1.08456,1.08459,1.08422,1.08439,1393
2024-03-04 04:00:00+00:00,1.0844,1.08458,1.08433,1.08436,1125
2024-03-04 05:00:00+00:00,1.08438,1.0847,1.08428,1.08444,1119
2024-03-04 06:00:00+00:00,1.08443,1.08479,1.0843,1.08469,1954
2024-03-04 07:00:00+00:00,1.08471,1.08542,1.08452,1.08538,3136
2024-03-04 08:00:00+00:00,1.0854,1.0858,1.08379,1.08448,4434
2024-03-04 09:00:00+00:00,1.08448,1.08522,1.08422,1.08491,3400
2024-03-04 10:00:00+00:00,1.0849,1.0855,1.0846,1.08536,2666
2024-03-04 11:00:00+00:00,1.08538,1.0857,1.08516,1.08563,2235
2024-03-04 12:00:00+00:00,1.08565,1.08576,1.08416,1.08427,2884
2024-03-04 13:00:00+00:00,1.08429,1.085,1.084,1.08487,4622
2024-03-04 14:00:00+00:00,1.0849,1.08618,1.08452,1.08598,5190
2024-03-04 15:00:00+00:00,1.08597,1.08637,1.08556,1.08632,4896
2024-03-04 16:00:00+00:00,1.08634,1.08669,1.08569,1.08614,4435
2024-03-04 17:00:00+00:00,1.08614,1.08624,1.08555,1.0858,3329
2024-03-04 18:00:00+00:00,1.08581,1.08608,1.08558,1.08564,2058
2024-03-04 19:00:00+00:00,1.08563,1.08584,1.08553,1.08566,2094
2024-03-04 20:00:00+00:00,1.08566,1.08597,1.08554,1.08558,2005
2024-03-04 21:00:00+00:00,1.0856,1.08572,1.08548,1.08556,888
2024-03-04 22:00:00+00:00,1.0856,1.08574,1.08534,1.0854,5477
2024-03-04 23:00:00+00:00,1.0855,1.08581,1.0854,1.08541,599
2024-03-05 00:00:00+00:00,1.0854,1.08554,1.08514,1.0853,1379
2024-03-05 01:00:00+00:00,1.08529,1.08548,1.08475,1.08496,2255
2024-03-05 02:00:00+00:00,1.08495,1.0852,1.08486,1.08502,1658
2024-03-05 03:00:00+00:00,1.08501,1.08549,1.08495,1.08543,919
2024-03-05 04:00:00+00:00,1.08544,1.08544,1.08498,1.08508,1105
2024-03-05 05:00:00+00:00,1.08507,1.08542,1.08492,1.08529,1454
2024-03-05 06:00:00+00:00,1.08531,1.08532,1.08447,1.08467,1895
2024-03-05 07:00:00+00:00,1.08468,1.08514,1.08416,1.08464,2989
2024-03-05 08:00:00+00:00,1.08466,1.08519,1.0843,1.08472,4444
2024-03-05 09:00:00+00:00,1.08473,1.08559,1.08472,1.08515,3327
2024-03-05 10:00:00+00:00,1.08511,1.0855,1.08493,1.08502,2408
2024-03-05 11:00:00+00:00,1.08502,1.08536,1.0848,1.08499,2370
2024-03-05 12:00:00+00:00,1.08498,1.08506,1.08456,1.08472,2749
2024-03-05 13:00:00+00:00,1.08472,1.08517,1.08421,1.08464,4431
2024-03-05 14:00:00+00:00,1.08465,1.08545,1.08403,1.08455,5352
2024-03-05 15:00:00+00:00,1.08456,1.0876,1.08456,1.08714,8347
2024-03-05 16:00:00+00:00,1.08715,1.0872,1.08583,1.08612,4541
2024-03-05 17:00:00+00:00,1.0861,1.08646,1.0858,1.086,2903
2024-03-05 18:00:00+00:00,1.08599,1.08601,1.08515,1.08528,2621
2024-03-05 19:00:00+00:00,1.08528,1.08579,1.08514,1.08529,3060
2024-03-05 20:00:00+00:00,1.08528,1.08586,1.0849,1.08578,2883
2024-03-05 21:00:00+00:00,1.08576,1.08593,1.08559,1.08568,1267
2024-03-05 22:00:00+00:00,1.0857,1.08587,1.0855,1.08569,3072
2024-03-05 23:00:00+00:00,1.0857,1.08589,1.08555,1.08555,917
2024-03-06 00:00:00+00:00,1.08556,1.08558,1.08492,1.08498,2357
2024-03-06 01:00:00+00:00,1.08498,1.08502,1.08422,1.08439,2985
2024-03-06 02:00:00+00:00,1.0844,1.08533,1.08438,1.08526,2268
2024-03-06 03:00:00+00:00,1.08527,1.08533,1.08504,1.08508,1905
2024-03-06 04:00:00+00:00,1.08508,1.08524,1.08495,1.08519,1408
2024-03-06 05:00:00+00:00,1.08518,1.0857,1.08516,1.08552,1866
2024-03-06 06:00:00+00:00,1.08549,1.08607,1.08549,1.08595,2183
2024-03-06 07:00:00+00:00,1.08594,1.08666,1.08586,1.08621,4008
2024-03-06 08:00:00+00:00,1.0862,1.08743,1.08592,1.08732,4108
2024-03-06 09:00:00+00:00,1.08732,1.08778,1.08694,1.08766,3029
2024-03-06 10:00:00+00:00,1.08765,1.08796,1.08734,1.08774,2303
2024-03-06 11:00:00+00:00,1.08775,1.08785,1.08716,1.08758,2243
2024-03-06 12:00:00+00:00,1.08758,1.08788,1.08674,1.08688,2730
2024-03-06 13:00:00+00:00,1.0869,1.08851,1.08685,1.0885,8223
2024-03-06 14:00:00+00:00,1.08848,1.08895,1.0883,1.0887,5702
2024-03-06 15:00:00+00:00,1.0885,1.09089,1.08814,1.09051,8618
2024-03-06 16:00:00+00:00,1.0905,1.0915,1.08995,1.09122,5615
2024-03-06 17:00:00+00:00,1.09124,1.09154,1.08994,1.09024,5387
2024-03-06 18:00:00+00:00,1.09026,1.09078,1.09004,1.0903,4617
2024-03-06 19:00:00+00:00,1.09028,1.09028,1.08934,1.08969,5650
2024-03-06 20:00:00+00:00,1.08967,1.08994,1.08929,1.0899,4203
2024-03-06 21:00:00+00:00,1.08989,1.08994,1.08955,1.0899,1250
2024-03-06 22:00:00+00:00,1.08968,1.09018,1.08968,1.08981,970
2024-03-06 23:00:00+00:00,1.08978,1.09016,1.08977,1.08996,782
2024-03-07 00:00:00+00:00,1.08995,1.09074,1.08994,1.09031,2761
2024-03-07 01:00:00+00:00,1.09032,1.09044,1.08966,1.0898,3912
2024-03-07 02:00:00+00:00,1.0898,1.0899,1.08936,1.08986,2498
2024-03-07 03:00:00+00:00,1.08985,1.09015,1.08954,1.09007,1630
2024-03-07 04:00:00+00:00,1.09006,1.09055,1.09003,1.09036,2072
2024-03-07 05:00:00+00:00,1.09036,1.09058,1.08998,1.09004,1984
2024-03-07 06:00:00+00:00,1.09004,1.09031,1.08986,1.09018,2376
2024-03-07 07:00:00+00:00,1.0902,1.09044,1.08912,1.08938,4444
2024-03-07 08:00:00+00:00,1.08938,1.0898,1.08878,1.0898,4391
2024-03-07 09:00:00+00:00,1.08977,1.09028,1.08928,1.09017,2970
